codigo de barras;categoria;nombre completo;sabor o descripcion;peso tamanio;fabrica;unidad;caja;caja2;nombre unidad;nombre caja;nombre caja2;default
'7773401007018;GALLETAS WAFER;WAFER MABELS;LIMON;42 g;FAGAL;1;30;;;;;
'7773401006997;GALLETAS WAFER;WAFER MABELS;VAINILLA;42 g;FAGAL;1;30;;;;;
'7772619003026;GALLETAS WAFER;WAFS;CHOCOLATE;30 g;LA SUPREMA;1;30;;;;;
'7772619004030;GALLETAS WAFER;WAFS;CHOCOLATE;100 g;LA SUPREMA;1;30;;;;;
'7772619003286;GALLETAS WAFER;WAFS;FRUTILLA;30 g;LA SUPREMA;1;30;;;;;
';GALLETAS WAFER;WAFS;FRUTILLA;100 g;LA SUPREMA;1;30;;;;;
';GALLETAS WAFER;WAFS;LIMON;100 g;LA SUPREMA;1;30;;;;;
'7772619003019;GALLETAS WAFER;WAFS;LINOM;30 g;LA SUPREMA;1;30;;;;;
';GALLETAS WAFER;WAFS;VAINILLA;30 g;LA SUPREMA;1;30;;;;;
'7772619004078;GALLETAS WAFER;WAFS;VAINILLA;100 g;LA SUPREMA;1;30;;;;;
';GALLETAS WAFER;WAFY;CHOCOLATE;20 g;CARSA;1;60;;;;;
';GASEOSAS;FANTA;GUARANA NO RETORNABLE;3 L;COCA COLA;1;6;;;;;
';GASEOSAS;FANTA;GUARANA NO RETORNABLE;2,5 L;COCA COLA;1;6;;;;;
';GASEOSAS;FANTA;GUARANA NO RETORNABLE;2 L;COCA COLA;1;6;;;;;
'7771609000205;GASEOSAS;COCA COLA;NO RETORNABLE;2,5 L;COCA COLA;1;6;;;;;
'77716088;GASEOSAS;COCA COLA;NO RETORNABLE;2 L;COCA COLA;1;6;;;;;
';GASEOSAS;COCA COLA;NO RETORNABLE;300 ml;COCA COLA;1;6;;;;;
'7771609000960;GASEOSAS;COCA COLA;NO RETORNABLE;3 L;COCA COLA;1;6;;;;;
'77716064;GASEOSAS;COCA COLA;NO RETORNABLE;500 ml;COCA COLA;1;6;;;;;
'7771609003091;GASEOSAS;COCA COLA;RETORNABLE PET;2,5 L;COCA COLA;1;6;;;;;
'7771605000094;GASEOSAS;COCA COLA;RETORNABLE PET;2 L;COCA COLA;1;6;;;;;
'7771609000182;GASEOSAS;COCA COLA;RETORNABLE VIDRIO;1,5 L;COCA COLA;1;6;;;;;
';GASEOSAS;COCA COLA;PERSONAL RETORNABLE VIDRIO;190 ml;COCA COLA;1;24;;;;;
';GASEOSAS;COKA QUINA;NO RETORNABLE;1 L;CASCADA;1;6;;;;;
';GASEOSAS;COKA QUINA;NO RETORNABLE;2 L;CASCADA;1;6;;;;;
';GASEOSAS;COKA QUINA;NO RETORNABLE;300 ml;CASCADA;1;6;;;;;
';GASEOSAS;COKA QUINA;NO RETORNABLE;3 L;CASCADA;1;6;;;;;
';GASEOSAS;COKA QUINA;NO RETORNABLE;500 ml;CASCADA;1;6;;;;;
';GASEOSAS;FANTA;GUARANA NO RETORNABLE;300 ml;COCA COLA;1;6;;;;;
';GASEOSAS;FANTA;GUARANA NO RETORNABLE;500 ml;COCA COLA;1;6;;;;;
';GASEOSAS;FANTA;GUARANA RETORNABLE PET;2,5 L;COCA COLA;1;6;;;;;
