codigo de barras;categoria;nombre completo;sabor o descripcion;peso tamanio;fabrica;unidad;caja;caja2;nombre unidad;nombre caja;nombre caja2;default;cantidad
'7804920055040;ACONDICIONADORES;ACONDICIONADOR BALLERINA;MANZANILLA;750 ml;PROESA;1;12;;acondicionador;caja;;unidad;1
'7804920003232;ACONDICIONADORES;ACONDICIONADOR BALLERINA;PALTA;750 ml;PROESA;1;12;;acondicionador;caja;;unidad;1
'7774904380300;ACONDICIONADORES;ACONDICIONADOR CARISSA;ANTICAIDA;800 ml;LURI;1;12;;acondicionador;caja;;unidad;1
';AGUA;AGUA VITAL;NO RETORNABLE;2 L;COCA COLA;1;6;;botella;paquete;;paquete;1
'7771609001530;AGUA;AGUA VITAL;NO RETORNABLE;300 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
'7771609001677;AGUA;AGUA VITAL;NO RETORNABLE;3 L;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA;AGUA VITAL;NO RETORNABLE ;500 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;MANZANA NO RETORNABLE;2 L;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;MANZANA NO RETORNABLE;300 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
'7771609002612;AGUA SABORIZADA;AQUARIUS;MANZANA NO RETORNABLE ;3 L;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;MANZANA NO RETORNABLE ;500 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
'7771609000656;AGUA SABORIZADA;AQUARIUS;PERA NO RETORNABLE;2 L;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;PERA NO RETORNABLE;300 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;PERA NO RETORNABLE;3 L;COCA COLA;1;6;;botella;paquete;;paquete;1
';AGUA SABORIZADA;AQUARIUS;PERA NO RETORNABLE;500 ml;COCA COLA;1;6;;botella;paquete;;paquete;1
'7771608000756;AGUA SABORIZADA;AGUA SPORT;LIMON NO RETORNABLE;1,5 L;CASCADA;1;6;;botella;paquete;;paquete;1
';BATERIAS;PANASONIC;PILA DESECHABLE GRANDE DE 1.5 VOLTS;A;;1;;;unidad;;;unidad;1
';BATERIAS;PANASONIC;PILA DESECHABLE MEDIANO DE 1.5 VOLTS;AA;;1;;;unidad;;;unidad;1
'8887549091285;BATERIAS;PANASONIC;PILA DESECHABLE PEQUEÑO DE 1.5 VOLTS;AAA;;1;40;;unidad;paquete;;unidad;1
'783094001015;BATERIAS;RAYOVAC;PILA DESECHABLE GRANDE DE 1.5 VOLTS;A;;1;24;;unidad;paquete;;unidad;1
